
2024/12/26 (20:55:09) | ===> btop++ v.1.4.0
2024/12/26 (20:55:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:35:18) | ===> btop++ v.1.4.0
2024/12/29 (20:35:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (21:05:53) | ===> btop++ v.1.4.0
2024/12/29 (21:05:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (16:57:53) | ===> btop++ v.1.4.0
2024/12/30 (16:57:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (16:58:26) | ===> btop++ v.1.4.0
2024/12/30 (16:58:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (16:58:57) | ===> btop++ v.1.4.0
2024/12/30 (16:58:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:30:49) | ===> btop++ v.1.4.0
2024/12/30 (17:30:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:31:53) | ===> btop++ v.1.4.0
2024/12/30 (17:31:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (21:36:43) | ===> btop++ v.1.4.0
2025/01/02 (21:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (14:08:27) | ===> btop++ v.1.4.0
2025/01/04 (14:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (14:08:52) | ===> btop++ v.1.4.0
2025/01/04 (14:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (14:09:02) | ===> btop++ v.1.4.0
2025/01/04 (14:09:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (21:16:39) | ===> btop++ v.1.4.0
2025/02/02 (21:16:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (00:01:52) | ===> btop++ v.1.4.0
2025/02/05 (00:01:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (07:44:24) | ===> btop++ v.1.4.0
2025/02/05 (07:44:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (07:50:01) | ===> btop++ v.1.4.0
2025/02/05 (07:50:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (14:28:45) | ===> btop++ v.1.4.0
2025/02/05 (14:28:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (19:53:10) | ===> btop++ v.1.4.0
2025/02/09 (19:53:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (19:53:27) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (20:50:54) | ===> btop++ v.1.4.0
2025/02/15 (20:50:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/15 (20:50:58) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (20:52:26) | ===> btop++ v.1.4.0
2025/02/15 (20:52:26) | WARNING: Intel GPU: Failed to initialize PMU

